K_ENTIDAD_MUNICIPIO,SUPERFICIE
21151,19.41
21152,115.01
21153,175.67
21154,180.41
21155,145.25
21156,552.99
21157,491.7
21158,140.28
21159,248.73
21160,136.7
21161,224.78
21162,28.73
21163,61.32
21164,217.52
21165,29.56
21166,132.26
21167,70.91
21168,116.21
21169,392.05
21170,450.62
21171,15.64
21172,328.58
21173,9.8
21174,92.52
21175,133.25
21176,83.63
21177,398.49
21178,173.32
21179,421.31
21180,313.85
21181,21.49
21182,14.91
21183,142.97
21184,63.34
21185,83.78
21186,293.98
21187,54.79
21188,218.96
21189,101.88
21190,155.41
21191,277.77
21192,41.92
21193,278.82
21194,316.49
21195,261.28
21196,60.33
21197,312.59
21198,204.65
21199,146.05
21200,59.74
21201,46.57
21202,78.25
21203,163.62
21204,29.61
21205,125.68
21206,247.74
21207,176.99
21208,489.2
21209,429.32
21210,20.34
21211,30.87
21212,266.71
21213,176.16
21214,62.85
21215,36.51
21216,19.15
21217,269.34
22001,713.33
22002,712.05
22003,732.12
22004,1347.71
22005,810.26
22006,234.87
22007,300.23
22008,388.13
22009,1186.25
22010,727.67
22011,746.37
22012,323.21
22013,694.95
22014,684.01
22015,276.92
22016,770.92
22017,369.61
22018,680.67
23001,488.03
23002,13432.43
23003,953.36
23004,15955.27
23005,2101.2
23006,4664.06
23007,3335.24
23008,1799.96
23009,2055.31
24001,775.49
24002,586.23
24003,794.27
24004,623.37
24005,390.5
24006,1944.95
24007,1169.35
24008,962.41
24009,122.56
24010,3150.38
24011,518.33
24012,137.34
24013,2423.55
24014,90.17
24015,2156.69
24016,698.48
24017,3745.86
24018,71.42
24019,535.98
24020,1301.64
24021,877.11
24022,1291.76
24023,786.22
24024,3063.96
24025,1729.85
24026,94.75
24027,639.2
24028,1482.44
24029,413.05
24030,692.39
24031,640.17
24032,1701
24033,4322.62
24034,518.74
24035,305.38
24036,1322.96
24037,353.03
24038,187.14
24039,262.66
24040,1843.34
24041,374.74
24042,143.41
24043,478.65
24044,2799.46
24045,1300.94
24046,877.93
24047,1912.6
24048,143.85
24049,2492.22
24050,1019.86
24051,1496.28
24052,640.05
24053,192.41
24054,398.31
24055,614.23
24056,586.52
24057,117.14
24058,821.27
25001,3995.41
25002,1905.01
25003,4836.33
25004,2167.26
25005,2172.04
25006,6304.99
25007,3214.65
25008,1643.35
25009,1554.63
25010,4169.78
25011,2938.15
25012,2532.62
25013,2800.56
25014,2634.68
25015,773.6
25016,5070.13
25017,6325.76
25018,2330.7
26001,368.16
26002,3946.4
26003,6422.75
26004,4457.68
26005,726.31
26006,3071.96
26007,300.43
26008,1065.99
26009,1128.94
26010,1344.6
26011,1230.95
26012,1583.37
26013,808.08
26014,842.53
26015,1721.67
26016,1412.2
26017,10671.64
26018,4876.37
26019,2316.19
26020,2581.81
26021,4122.09
26022,1577.89
26023,2010.05
26024,385.7
26025,593.13
26026,948.9
26027,2616.35
26028,363.89
26029,7950.73
26030,16955.14
26031,1197.56
26032,821.74
26033,1905.69
26034,420.82
26035,2170.01
26036,1239.42
26037,683.01
26038,1877.54
26039,1238.39
26040,2832.66
26041,1735.76
26042,2808.72
26043,1756.57
26044,534.16
26045,2224.27
26046,916.38
26047,9819.95
26048,6193.29
26049,3780.56
26050,879.05
26051,3519.77
