K_ENTIDAD_MUNICIPIO,PO2SM,IM,GM
15001,60.97,0.38,Alto
15110,34.61,-0.789,Bajo
15048,53.66,-0.615,Bajo
15085,59.02,-0.093,Medio
15011,44.4,-1.009,Bajo
15053,31.02,-1.35,Muy bajo
15092,37.54,-1.29,Muy bajo
15018,34.22,-1.319,Muy bajo
15111,46.43,0.308,Alto
15115,35.58,-1.168,Muy bajo
15009,46.94,-1.08,Muy bajo
15003,55.54,0.197,Alto
15103,37.86,-1.334,Muy bajo
15112,46.99,-0.067,Medio
15036,41.53,-0.818,Bajo
15023,38.44,-1.215,Muy bajo
15100,38.54,-0.843,Bajo
15021,60.83,0.018,Medio
15059,39.31,-0.979,Bajo
15084,45.52,-0.88,Bajo
15064,49.78,-0.366,Medio
15096,33.85,-1.247,Muy bajo
15040,48.69,-0.524,Bajo
15019,40.82,-1.259,Muy bajo
15065,38.65,-1.009,Bajo
15105,52.7,0.315,Alto
15063,61.17,-0.049,Medio
15032,49.46,0.789,Alto
15086,59.49,0.293,Alto
15015,61.38,-0.483,Medio
15093,35.72,-1.017,Bajo
15056,63.33,0.424,Alto
15043,48.27,-0.694,Bajo
15010,33.96,-1.208,Muy bajo
15028,43.38,-1.04,Bajo
15068,55.39,-0.811,Bajo
15026,57.61,0.013,Medio
15123,48.54,0.379,Alto
15044,35.45,-1.634,Muy bajo
15016,44.35,-0.668,Bajo
15052,51.77,-0.38,Medio
15073,29.34,-1.673,Muy bajo
15075,33.51,-1.221,Muy bajo
15080,47.34,0.509,Alto
15008,55.24,0.332,Alto
15030,49.47,-1.247,Muy bajo
15050,52.87,-0.785,Bajo
15007,49.27,-0.067,Medio
15094,58.34,-0.706,Bajo
15097,63.91,0.136,Alto
15046,32.46,-0.826,Bajo
15119,72.61,0.543,Alto
15102,47.07,-0.56,Bajo
15117,52.98,0.749,Alto
15004,62.81,0.16,Alto
15022,42.93,-1.064,Bajo
15049,64.1,-0.245,Medio
15071,51.84,-0.491,Medio
15079,54.63,-0.372,Medio
15072,34.13,-1.298,Muy bajo
15083,32.7,-1.183,Muy bajo
15055,35.41,-1.371,Muy bajo
15089,42.13,-1.032,Bajo
15107,47.48,-0.933,Bajo
15012,46.31,-1.091,Muy bajo
15027,23.77,-1.491,Muy bajo
15038,41.79,-0.637,Bajo
15006,44.97,-1.05,Bajo
15017,47.12,-0.792,Bajo
15125,41.71,-1.072,Bajo
15078,47.19,-0.297,Medio
15034,54.76,-0.506,Bajo
15061,43.62,-0.807,Bajo
15041,63.7,0.758,Alto
15077,49.37,-0.091,Medio
15098,51.89,-0.782,Bajo
15116,45.45,-0.428,Medio
15069,31.62,-1.213,Muy bajo
15066,58.04,0.249,Alto
16053,33.74,-1.466,Muy bajo
16102,39.35,-1.107,Muy bajo
16108,43.63,-0.969,Bajo
16052,23.4,-1.261,Muy bajo
16112,46.89,-0.626,Bajo
16006,47.5,-0.578,Bajo
16034,59,-0.257,Medio
16088,39.17,-0.915,Bajo
16069,41.09,-1.22,Muy bajo
16066,53.76,-0.638,Bajo
16050,63.17,-0.182,Medio
16082,41.21,-0.572,Bajo
16076,43.11,-1.1,Muy bajo
16107,52.45,-0.999,Bajo
16043,41.53,-0.934,Bajo
16075,36.96,-0.571,Bajo
16071,59.02,-0.387,Medio
16079,59.65,-0.012,Medio
16012,42.62,-0.125,Medio
16110,63.46,-0.337,Medio
16055,50.71,-0.303,Medio
16038,46.39,0.367,Alto
16025,68.91,0.186,Alto
16065,56.65,-0.05,Medio
16009,36.5,-0.418,Medio
16035,55.56,0.259,Alto
16017,65.39,0.096,Alto
16085,52.82,-0.303,Medio
16045,46.95,-0.914,Bajo
16097,54.96,0.679,Alto
16106,54.18,-0.8,Bajo
16083,22.69,-0.317,Medio
16020,57.47,-0.288,Medio
