K_ENTIDAD_MUNICIPIO,HOGARES,POBLACION,SUPERFICIE,DENS_HOGS,DENS_HABS,ANALF,SPRIM,ANOS_PROMEDIO_DE_ESCOLARIDAD,OVSAE,OVSEE,PL<5000,PO2SM,INGRESOPC_ANUAL,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,NUM_OPS,CLASS_PEN_BAF_HABS_COAXFO,IS_PEN_BAF_HABS_COAXFO
30036,2582,10482,43.94,5876.194811106054,5876.194811106054,14.62,35.5,5.5,5.69,2.85,27.45,67.71,1639.58,9.33384972889233,20.9527498063516,75.2904725019364,11.3090627420604,1,0,0
30037,1879,8566,41.76,4499.521072796935,4499.521072796935,26.49,49.07,3.85,9.22,3.89,100,82.12,866.67,0.90473656200106,18.5737094199042,60.0319318786588,10.3778605641298,0,0,0
30038,25295,92127,202.8,12472.879684418145,12472.879684418145,6.86,20.17,8.77,0.75,0.71,29.47,40.36,3125.18,37.0009891196834,40.7912957467853,80.1740850642927,40.8348170128585,3,2,1
30039,94675,319187,312.08,30336.772622404515,30336.772622404515,4.15,14.02,9.45,2.95,0.33,4.01,29.95,3538.05,41.7902245706737,45.2702774108322,89.3442536327609,33.5545574636723,3,2,1
30040,15167,56897,277.57,5464.2072270058,5464.2072270058,6.43,16.86,8.91,9.81,1.15,29.61,33.62,2901.19,33.0520208347069,51.1043713324982,80.9784400342849,30.955363618382,2,1,1
30041,570,2236,9.44,6038.135593220339,6038.135593220339,15.87,39.45,5.19,36.54,2.46,100,71.93,1394.72,1.75438596491228,15.6140350877193,50.7017543859649,3.33333333333333,0,0,0
30042,1695,5718,130.41,1299.746951920865,1299.746951920865,12.32,38.99,5.46,12.54,3.71,100,68.06,1545.27,7.14707619610159,32.9001772002362,54.4595392793857,17.8972238629651,1,0,0
30043,4998,19859,310.92,1607.487456580471,1607.487456580471,17.86,46.5,4.38,22.9,2.92,100,77.73,1355.95,2.32185748598879,4.54363490792634,48.578863090472296,12.7902321857486,1,0,0
30044,61746,218153,159.65,38675.85342937676,38675.85342937676,4.54,11.77,9.52,6.79,0.61,18.55,46.51,2832.51,33.627071420472,44.3895485396789,82.2347852850177,33.9883044724863,3,2,1
30045,18023,57147,517.95,3479.6795057437976,3479.6795057437976,9.73,25.54,7.61,8.86,1.22,46.7,48.99,2516.29,19.9744770570937,38.700549298119,79.786938911391,25.6061698940243,2,1,1
30046,4216,16353,76.6,5503.916449086162,5503.916449086162,15.41,43.73,4.84,2.45,1.44,100,75.97,1460.54,4.45920303605313,7.30550284629981,50.6878557874762,14.516129032258,1,0,0
30047,13275,58479,158.01,8401.367002088477,8401.367002088477,20.29,42.82,5.04,8.91,2.87,57.3,61.24,1597.15,8.38418079096045,22.2749529190207,59.0659133709981,10.8625235404896,1,1,1
30048,36984,129527,277.05,13349.214943151053,13349.214943151053,6.07,18.49,8.48,18.95,2.16,28.31,39.83,2706.32,24.4430023794073,47.7341553104045,85.093553969284,21.7959117456197,2,1,1
30049,5940,21013,537.68,1104.746317512275,1104.746317512275,13.53,36.33,5.55,2.75,0.84,100,56.76,1808.37,26.4914054600606,20.458375463431,74.3006403774856,8.66194809571958,1,0,0
30050,3977,16754,80.43,4944.672385925649,4944.672385925649,24.26,39.31,5.26,46.49,6.81,100,72.41,1293.23,4.95348252451596,9.00176012069399,55.3180789539854,6.48730198642192,0,0,0
30051,5824,22570,234.05,2488.357188634907,2488.357188634907,24.94,41.97,4.97,16.58,3.47,61.45,77.02,1391.58,5.10309278350515,15.4295532646048,50.2061855670103,16.8900343642611,1,0,0
30052,3354,12238,34.69,9668.492360910926,9668.492360910926,9.12,28.11,6.68,1.77,0.96,100,59.32,1919.38,13.4764460345855,28.0560524746571,65.7423971377459,15.5038759689922,1,0,0
30053,7667,27940,149.62,5124.314931158936,5124.314931158936,8.18,26.57,6.78,10.73,0.91,48.02,54.43,2163.83,21.1947306638841,26.2684231120386,75.4662840746054,25.4597626190165,2,1,1
30205,5390,19478,391.15,1377.9879841493034,1377.9879841493034,8.64,24.67,7.52,4.1,1.47,55.78,55.53,2352.01,9.43361188486536,72.9247910863509,81.2070566388115,18.1058495821727,1,0,0
30065,22258,78336,415.6,5355.63041385948,5355.63041385948,4.72,18.96,8.84,2.34,1.45,73.23,39.55,2917.93,36.3105400305508,37.2001078263995,83.6598077095875,29.423128762692,3,1,1
30066,7071,27297,240.74,2937.1936529035474,2937.1936529035474,17.39,34.6,5.91,33.14,2.45,100,73.9,1490.45,4.4548154433602,9.33389902418328,57.2196294724932,15.7262056286239,1,0,0
