K_ENTIDAD_MUNICIPIO,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH
16025,6.33,11.51,1490.46,31.86,0.53,0.74,0.67,0.64
21127,5.46,12.84,1224.02,29.17,0.54,0.77,0.64,0.64
22001,5.62,11.15,1803.74,29.88,0.5,0.76,0.7,0.64
31008,5.06,12.94,1216.9,27.28,0.53,0.78,0.64,0.64
21148,5.55,11.36,1508.42,26.92,0.5,0.79,0.67,0.64
07006,4.81,11.53,1404.31,21.58,0.48,0.83,0.66,0.64
31021,5.94,13.22,1190.78,32.98,0.57,0.73,0.63,0.64
30146,5.36,11.21,1422.45,23.78,0.49,0.81,0.66,0.64
30095,5.4,11.75,1541.9,28.61,0.51,0.77,0.67,0.64
32026,5.84,11.12,1581.51,28.66,0.5,0.77,0.68,0.64
15112,6.4,11.56,1719.86,35.48,0.53,0.71,0.69,0.64
16040,5.72,11.49,1727.67,31.56,0.51,0.75,0.69,0.64
16017,5.72,11.45,1515.76,28.7,0.51,0.77,0.67,0.64
24022,5.34,10.94,1593.38,24.74,0.48,0.8,0.68,0.64
16056,5.82,12.21,1414.29,31.54,0.53,0.75,0.66,0.64
31085,4.98,12.15,1812.85,31.42,0.5,0.75,0.7,0.64
29037,6.06,11.61,1198.04,26.68,0.52,0.79,0.63,0.64
21098,6.18,12.4,1117.31,29.57,0.55,0.76,0.62,0.64
16084,5.27,11.14,2000.11,30.01,0.48,0.76,0.71,0.64
30042,5.46,11.85,1545.27,29.69,0.51,0.76,0.67,0.64
13018,5.38,11.81,1347.99,26.16,0.51,0.79,0.65,0.64
28008,5.73,10.41,1548.99,24.02,0.48,0.81,0.67,0.64
12003,5.11,11.72,1339.23,24,0.5,0.81,0.65,0.64
16047,6.1,10.7,1714.66,30.05,0.5,0.76,0.69,0.64
28042,5.86,11.12,1400.09,26.61,0.5,0.79,0.66,0.64
15003,6.21,12.08,1784.15,37.73,0.54,0.69,0.69,0.64
24033,5.21,11.41,1530.23,26.01,0.49,0.79,0.67,0.64
20357,5.23,13.45,1051.49,28.11,0.55,0.78,0.61,0.64
20469,5,11.66,1695.46,28.22,0.49,0.77,0.69,0.64
10009,5.37,10.85,1967.92,29.31,0.48,0.77,0.71,0.64
21073,5.57,12.15,1066.8,24.29,0.52,0.81,0.62,0.64
20458,5.94,12.86,842.67,24.29,0.56,0.81,0.58,0.64
21101,5.51,12.6,1209.43,28.95,0.53,0.77,0.64,0.64
20034,5.03,11.85,1335.01,24.48,0.5,0.81,0.65,0.64
20513,4.97,11.66,1316.25,22.87,0.49,0.82,0.65,0.64
16015,5.32,11.07,2202.91,32.36,0.48,0.74,0.73,0.64
