HOGARES,POBLACION,PO2SM,IM,SUPERFICIE,INFRA_INDEX,ALL_ACCESS,NUM_OPS,DENS_HOGS,PEN_CLASS
17403,72795,51.15,-0.485,609.07,0.06,10086,2,2857.3070418835273,2
4867,18145,64.4,0.26,244.82,0.04,839,1,1987.991177191406,0
11206,39205,64.68,0.366,1192.73,-0.2,1320,1,939.5252907196098,1
55154,200119,32.88,-1.246,64.35,2.1,40931,2,85709.40170940172,2
16201,57646,44.72,-0.744,288.65,0.52,3899,1,5612.679715918934,0
6713,22454,48.24,-0.611,384.1,0.16,372,1,1747.7219474095286,0
5171,23112,62.9,0.113,26.6,-0.26,1142,1,19439.84962406015,0
1922,8068,48.59,-0.39,11.51,0.38,281,1,16698.523023457863,1
12332,41927,44.68,-1.411,15.24,1.29,9128,2,80918.63517060367,2
1914,6147,56.18,0.134,108.49,0.21,379,1,1764.2179002673056,0
658,2921,77.66,0.958,21.89,-0.66,0,0,3005.938784833257,0
42777,164834,63.36,0.125,956.79,0.01,8860,2,4470.887028501552,1
9188,33929,69.77,0.473,1261.67,-0.08,581,1,728.2411407103283,0
8695,29631,64.87,-0.306,291.85,0.1,2733,2,2979.2701730340927,1
3353,12512,70.31,1.007,399.1,-0.56,0,0,840.1403157103482,0
15867,57466,70.65,0.523,618.07,-0.42,1523,1,2567.184946688886,1
8563,32721,67.31,0.425,662.47,-0.03,801,1,1292.5868341207904,0
837,3656,77.54,0.227,16.34,-0.54,0,0,5122.399020807833,0
4522,16363,55.33,-0.239,96.27,0.31,778,1,4697.205775423288,0
5006,23130,86.14,1.812,115.41,-0.85,14,1,4337.579065938828,0
8074,27770,57.16,-0.321,415.71,-0.08,1142,1,1942.219335594525,1
9227,35155,62.26,1.681,479.75,-0.97,2,1,1923.293381969776,1
3266,11750,70.82,0.188,399.94,-0.21,425,1,816.6224933740061,0
7079,23120,72.47,0.481,1018.22,-0.33,501,1,695.2328573392783,0
3906,12320,60.84,0.319,874.76,0.06,296,1,446.5224747359276,0
1653,5792,71.97,0.114,156.19,-0.39,0,0,1058.3263973365772,0
3649,12983,74.24,0.494,333.6,-0.36,35,1,1093.8249400479615,0
26212,103616,72.02,1.183,1302.3,-0.34,3576,1,2012.7466789526225,1
4249,15614,72.08,0.745,295.03,-0.81,0,0,1440.1925227942922,0
1298,5767,65.27,0.861,91.67,-1.06,0,0,1415.9485109632376,0
